,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,5,0.75,0.75,0.045876264572143555,"['down', 'right', 'up', 'left', 'down', 'right']",0.037387500000000004,0.007477500000000001
1,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,2,0.9,1.65,0.024932384490966797,"['up', 'right', 'right']",0.0823875,0.01373125
2,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,6,0.7,2.3499999999999996,0.05385613441467285,"['left', 'right', 'down', 'down', 'up', 'down', 'right']",0.11789224921874998,0.014736531152343748
3,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,1,0.95,3.3,0.013963937759399414,"['right', 'right']",0.16516068671875,0.02064508583984375
4,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,2,0.9,4.2,0.02293872833251953,"['right', 'right', 'right']",0.20972245621093752,0.02621530702636719
5,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,1,0.95,5.15,0.012964010238647461,"['right', 'right']",0.2563701013300782,0.032046262666259775
6,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,8,0.6000000000000001,5.75,0.058843135833740234,"['right', 'right', 'down', 'down', 'down', 'up', 'up', 'up', 'right']",0.297704954101138,0.022900381084702923
7,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,1,0.95,6.7,0.012966394424438477,"['right', 'right']",0.3434165165523311,0.026416655119410083
8,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,8,0.6000000000000001,7.300000000000001,0.0608363151550293,"['right', 'up', 'up', 'down', 'right', 'up', 'down', 'right', 'right']",0.37082095656635977,0.021812997445079987
9,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,2,0.9,8.200000000000001,0.02094435691833496,"['right', 'right', 'right']",0.4129577253407026,0.02429163090239427
