,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,18,-1.9000000000000004,-1.9000000000000004,0.12666010856628418,"['right', 'down', 'down', 'left', 'right', 'down', 'up', 'down', 'left', 'down', 'right', 'left', 'down', 'right', 'right', 'right', 'up', 'right', 'up']",-0.09471845464843753,-0.007286034972956734
1,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,9,0.55,-1.3500000000000003,0.06781911849975586,"['up', 'right', 'up', 'up', 'down', 'left', 'right', 'down', 'right', 'right']",-0.06644125806884282,-0.0041525786293026765
2,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,10,0.5,-0.8500000000000003,0.06383013725280762,"['right', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'right', 'right']",-0.039463889339228814,-0.002321405255248754
3,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,47,-3.3499999999999996,-4.2,0.2892262935638428,"['down', 'left', 'left', 'down', 'down', 'right', 'right', 'up', 'right', 'left', 'left', 'down', 'up', 'right', 'left', 'up', 'right', 'down', 'up', 'left', 'left', 'down', 'up', 'right', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'up', 'left', 'up', 'left', 'up', 'up', 'right', 'left', 'down', 'down', 'right', 'right', 'down', 'down', 'right', 'up']",-0.20269174365569884,-0.007238990844846387
4,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,17,0.1499999999999998,-4.050000000000001,0.09873533248901367,"['down', 'left', 'right', 'down', 'right', 'right', 'left', 'left', 'up', 'down', 'up', 'up', 'right', 'up', 'down', 'left', 'up', 'right']",-0.19039938515978744,-0.006346646171992915
5,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,13,0.35,-3.7000000000000006,0.0827782154083252,"['down', 'right', 'right', 'left', 'down', 'left', 'left', 'up', 'right', 'down', 'up', 'left', 'down', 'right']",-0.16764597262752742,-0.0055881990875842474
6,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,48,-1.3999999999999995,-5.1,0.3151562213897705,"['down', 'left', 'right', 'right', 'right', 'up', 'right', 'left', 'left', 'up', 'up', 'left', 'right', 'up', 'left', 'left', 'left', 'down', 'up', 'left', 'left', 'left', 'down', 'down', 'up', 'right', 'down', 'left', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'left', 'left', 'up', 'left', 'right', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'right', 'right']",-0.21881928108374638,-0.0070586864865724635
7,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,17,0.1499999999999998,-4.95,0.1077110767364502,"['left', 'left', 'up', 'down', 'left', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'down', 'right', 'left', 'right', 'right']",-0.19338403677683264,-0.00604325114927602
8,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,2,0.9,-4.05,0.02094411849975586,"['right', 'right', 'right']",-0.14794169564825155,-0.004623177989007861
9,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,3,0.85,-3.1999999999999997,0.029919862747192383,"['up', 'right', 'right', 'right']",-0.10504224094962836,-0.003282570029675886
